llm_a,llm_b,comparisons
claude-opus-4-20250514,gemini-2.5-flash,276
claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,240
claude-opus-4-20250514,gemini-2.5-pro,238
gemini-2.5-pro,mistral-medium-2505,233
gemini-2.5-flash,mistral-medium-2505,230
claude-sonnet-4-20250514,gemini-2.5-flash,229
claude-opus-4-20250514,mistral-medium-2505,224
claude-opus-4-20250514,command-a-03-2025,216
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-flash,210
claude-3-7-sonnet-20250219-thinking-32k,claude-opus-4-20250514,207
gemini-2.5-flash,qwen3-235b-a22b-no-thinking,206
claude-3-5-sonnet-20241022,gemini-2.0-flash-001,205
claude-sonnet-4-20250514,mistral-medium-2505,205
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-pro,205
claude-sonnet-4-20250514,gemini-2.5-pro,203
claude-sonnet-4-20250514,qwen3-235b-a22b-no-thinking,202
claude-3-7-sonnet-20250219-thinking-32k,qwen3-235b-a22b-no-thinking,200
claude-opus-4-20250514,gemma-3-27b-it,198
claude-opus-4-20250514,claude-sonnet-4-20250514,196
amazon.nova-pro-v1:0,gemini-2.5-flash,195
claude-opus-4-20250514,o3-2025-04-16,193
mistral-medium-2505,qwen3-235b-a22b-no-thinking,193
gemini-2.5-pro,qwen3-235b-a22b-no-thinking,191
claude-3-7-sonnet-20250219,gemini-2.5-flash,191
claude-3-7-sonnet-20250219,gemini-2.5-pro,191
claude-3-7-sonnet-20250219-thinking-32k,mistral-medium-2505,187
mistral-medium-2505,o3-2025-04-16,187
claude-opus-4-20250514,deepseek-v3-0324,187
claude-opus-4-20250514,llama-4-maverick-03-26-experimental,186
gemini-2.5-flash,gemini-2.5-pro,186
command-a-03-2025,gemini-2.5-pro,186
command-a-03-2025,gemini-2.5-flash,181
gemini-2.5-pro,o3-mini,180
gemini-2.5-flash,gemma-3-27b-it,178
amazon.nova-pro-v1:0,claude-opus-4-20250514,178
claude-opus-4-20250514,grok-3-mini-beta,176
gemini-2.5-pro,gemma-3-27b-it,175
claude-sonnet-4-20250514,o3-2025-04-16,175
gemini-2.5-flash,o3-2025-04-16,174
claude-opus-4-20250514,deepseek-r1-0528,172
chatgpt-4o-latest-20250326,claude-opus-4-20250514,172
claude-sonnet-4-20250514,command-a-03-2025,171
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-pro,171
claude-3-7-sonnet-20250219-thinking-32k,claude-sonnet-4-20250514,171
amazon.nova-pro-v1:0,gemini-2.5-pro,171
claude-3-5-sonnet-20241022,gemini-2.5-flash,170
claude-opus-4-20250514,o3-mini,169
chatgpt-4o-latest-20250326,claude-3-5-sonnet-20241022,167
claude-3-5-haiku-20241022,gemini-2.5-pro,166
o3-2025-04-16,qwen3-235b-a22b-no-thinking,166
claude-3-7-sonnet-20250219,mistral-medium-2505,165
claude-opus-4-20250514,o4-mini-2025-04-16,165
chatgpt-4o-latest-20250326,gemini-2.5-flash,164
deepseek-r1-0528,gemini-2.5-flash,164
claude-opus-4-20250514-thinking-16k,qwen3-235b-a22b-no-thinking,164
claude-sonnet-4-20250514,llama-4-maverick-03-26-experimental,163
claude-opus-4-20250514,grok-3-preview-02-24,163
gemini-2.0-flash-001,o3-2025-04-16,160
gemini-2.5-pro,o3-2025-04-16,160
claude-opus-4-20250514,gpt-4.1-2025-04-14,158
claude-3-5-haiku-20241022,claude-opus-4-20250514,158
claude-3-7-sonnet-20250219-thinking-32k,o3-2025-04-16,158
claude-3-5-sonnet-20241022,o3-2025-04-16,157
deepseek-r1-0528,qwen3-235b-a22b-no-thinking,157
chatgpt-4o-latest-20250326,claude-3-7-sonnet-20250219,157
chatgpt-4o-latest-20250326,claude-3-5-haiku-20241022,157
amazon.nova-pro-v1:0,qwen3-235b-a22b-no-thinking,157
claude-3-5-haiku-20241022,o3-2025-04-16,156
gemini-2.5-flash,llama-4-maverick-03-26-experimental,156
o3-2025-04-16,o3-mini,155
deepseek-v3-0324,qwen3-235b-a22b-no-thinking,155
llama-4-maverick-03-26-experimental,qwen3-235b-a22b-no-thinking,155
amazon.nova-pro-v1:0,o3-2025-04-16,153
claude-opus-4-20250514,gpt-4.1-mini-2025-04-14,153
claude-3-7-sonnet-20250219,o3-2025-04-16,152
claude-opus-4-20250514,gemini-2.5-pro-preview-05-06,152
chatgpt-4o-latest-20250326,mistral-medium-2505,152
claude-3-5-haiku-20241022,gemini-2.5-flash,152
amazon.nova-pro-v1:0,mistral-medium-2505,150
claude-sonnet-4-20250514-thinking-32k,qwen3-235b-a22b-no-thinking,150
claude-3-7-sonnet-20250219-thinking-32k,deepseek-r1-0528,149
chatgpt-4o-latest-20250326,gemma-3-27b-it,149
command-a-03-2025,mistral-medium-2505,149
gemini-2.5-pro,qwen3-30b-a3b,148
gemma-3-27b-it,o3-2025-04-16,148
amazon.nova-pro-v1:0,claude-sonnet-4-20250514,148
claude-3-7-sonnet-20250219,claude-opus-4-20250514,147
command-a-03-2025,o3-2025-04-16,147
claude-opus-4-20250514-thinking-16k,gemini-2.5-pro,147
gemini-2.5-flash,grok-3-mini-beta,147
claude-opus-4-20250514,qwen3-30b-a3b,146
deepseek-r1-0528,mistral-medium-2505,146
gemma-3-27b-it,mistral-medium-2505,146
claude-opus-4-20250514-thinking-16k,o3-2025-04-16,146
gemini-2.5-pro,gpt-4.1-2025-04-14,145
claude-3-5-haiku-20241022,mistral-medium-2505,145
gemini-2.5-flash,gpt-4.1-2025-04-14,145
