id,model_a,model_b,winner,prediction,group_id
3965742e-5978-422f-9315-fba4701ee653,claude-opus-4-20250514,gemini-2.5-flash,1,0,0
dacef24d-ee0c-4612-8790-c038095d8508,claude-opus-4-20250514,gemini-2.5-flash,1,1,0
22a9883b-d4fd-4af3-9c39-32c3a1e79d98,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
58663f91-ad82-4e6a-b025-6dcab4ee82fa,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
aa83baa5-d1ec-4254-92b2-249b78d19017,claude-opus-4-20250514,gemini-2.5-flash,1,1,0
0bbf04bb-3951-4999-9b4c-f48888b638d1,claude-opus-4-20250514,gemini-2.5-flash,1,1,0
dcbb3f68-1ab4-414d-9b24-8de15277c15e,claude-opus-4-20250514,gemini-2.5-flash,0,1,0
418487f7-cc5b-4af2-9a99-e039940d5ed8,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
e43402a1-b1fc-4475-9d4d-cdc02d0e9ef9,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
661ef127-1f41-463e-babd-6a6949a6ffa7,claude-opus-4-20250514,gemini-2.5-flash,1,1,0
b682e21b-2caf-4122-9725-480fe5152e59,claude-opus-4-20250514,gemini-2.5-flash,1,1,0
7fba1f0a-5ba4-4a9b-950f-51fea944062c,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
c0d6d0ba-eda2-4c25-bd32-7286bfff0b09,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
e0cc6a5c-adc8-40cf-9718-9a8446a199f6,claude-opus-4-20250514,gemini-2.5-flash,1,1,0
e8f84c94-293d-4d4b-8833-57e75b2f6db6,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
6f619f41-13e4-4138-9ac4-c6cca9f812e1,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
920b36ae-970d-43ca-ac31-1b1ed2577ad8,claude-opus-4-20250514,gemini-2.5-flash,1,0,0
555e5a42-319f-4a8d-af1c-ef685b54cf1f,claude-opus-4-20250514,gemini-2.5-flash,1,0,0
c3c3f218-fe2c-41b7-b1fd-432afd6862f5,claude-opus-4-20250514,gemini-2.5-flash,0,1,0
c0f749dc-5637-468b-b1df-01ed6c8032d2,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
cee0f510-4b02-484d-95fd-19f9b69e9aa5,claude-opus-4-20250514,gemini-2.5-flash,1,1,0
d2ee16ae-b06c-44b0-899d-2468a3b2c376,claude-opus-4-20250514,gemini-2.5-flash,1,0,0
d2b753e2-912a-4bfb-ab66-8f8822155373,claude-opus-4-20250514,gemini-2.5-flash,1,1,0
0029746a-ceef-4ca5-a709-5af6bed01331,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
3c42a176-5cce-4300-a1f4-2f63c5546d56,claude-opus-4-20250514,gemini-2.5-flash,1,0,0
fcf91a1c-7c90-4f12-9e0f-37a9c223805f,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
20104868-6b41-4e4a-8150-9f788df31010,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
35ed1fa4-9084-4c83-88ae-532afde3beae,claude-opus-4-20250514,gemini-2.5-flash,1,0,0
6de03c79-b1d2-4e8a-8732-c12b7c48e53d,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
34be526c-823e-4c3f-8bbb-a2f98eb0a921,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
5fdd1492-0bbf-43aa-b358-9ed196aa260d,claude-opus-4-20250514,gemini-2.5-flash,1,1,0
891b6fc2-f12a-4039-8cf2-dbb9c715ec61,claude-opus-4-20250514,gemini-2.5-flash,0,1,0
df7e4d10-4f32-4415-a81c-d2774c8d6fac,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
7441a8a0-772b-4db7-933f-3c90b246bc7e,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
6e11655e-83bd-4b02-a0dd-d57cccc5628e,claude-opus-4-20250514,gemini-2.5-flash,0,1,0
97020d1e-e6e3-482c-9f94-0f45735db490,claude-opus-4-20250514,gemini-2.5-flash,1,0,0
de7cb3d8-eef7-422a-ad3c-0917a1a084c9,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
ce79451b-1e6d-405d-8bf0-c27376bb2e14,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
a9344cb7-009e-431a-8657-3378a3e5288a,claude-opus-4-20250514,gemini-2.5-flash,0,1,0
55970bed-5bc9-457c-b423-e78ee22639d8,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
67fd36b5-6a11-4cff-9260-710f114ad8ab,claude-opus-4-20250514,gemini-2.5-flash,1,0,0
08923082-aba4-41ff-ba63-3ccbd96dbd94,claude-opus-4-20250514,gemini-2.5-flash,1,0,0
637ce430-b489-4fd4-a1e4-f2d9884a4e68,claude-opus-4-20250514,gemini-2.5-flash,0,0,0
