llm_a,llm_b,comparisons
claude-opus-4-20250514,gemini-2.5-flash,172
claude-3-5-sonnet-20241022,gemini-2.0-flash-001,161
claude-opus-4-20250514,gemini-2.5-pro,145
claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,140
gemini-2.5-flash,mistral-medium-2505,136
gemini-2.5-pro,mistral-medium-2505,136
claude-opus-4-20250514,mistral-medium-2505,132
claude-opus-4-20250514,llama-4-maverick-03-26-experimental,131
claude-sonnet-4-20250514,gemini-2.5-flash,131
claude-opus-4-20250514,command-a-03-2025,130
claude-opus-4-20250514,deepseek-v3-0324,128
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-flash,127
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-pro,125
claude-opus-4-20250514,gemma-3-27b-it,125
mistral-medium-2505,qwen3-235b-a22b-no-thinking,124
claude-sonnet-4-20250514,mistral-medium-2505,123
gemini-2.5-flash,qwen3-235b-a22b-no-thinking,122
mistral-medium-2505,o3-2025-04-16,121
gemini-2.5-pro,qwen3-235b-a22b-no-thinking,121
amazon.nova-pro-v1:0,gemini-2.5-flash,120
claude-opus-4-20250514,o3-2025-04-16,120
claude-sonnet-4-20250514,gemini-2.5-pro,120
command-a-03-2025,gemini-2.5-pro,120
command-a-03-2025,gemini-2.5-flash,119
claude-3-7-sonnet-20250219,gemini-2.5-pro,119
claude-opus-4-20250514,grok-3-mini-beta,118
chatgpt-4o-latest-20250326,claude-3-5-sonnet-20241022,117
claude-3-7-sonnet-20250219-thinking-32k,qwen3-235b-a22b-no-thinking,115
gemini-2.0-flash-001,o3-2025-04-16,115
claude-sonnet-4-20250514,qwen3-235b-a22b-no-thinking,114
claude-3-7-sonnet-20250219-thinking-32k,mistral-medium-2505,111
claude-3-7-sonnet-20250219-thinking-32k,claude-opus-4-20250514,111
claude-opus-4-20250514,deepseek-r1-0528,109
gemini-2.5-flash,o3-2025-04-16,108
gemini-2.5-flash,gemini-2.5-pro,108
chatgpt-4o-latest-20250326,claude-3-7-sonnet-20250219,107
claude-opus-4-20250514,claude-sonnet-4-20250514,107
claude-sonnet-4-20250514,o3-2025-04-16,106
chatgpt-4o-latest-20250326,grok-3-preview-02-24,106
claude-3-7-sonnet-20250219,gemini-2.5-flash,105
gemini-2.5-pro,o3-mini,105
claude-3-7-sonnet-20250219-thinking-32k,o3-2025-04-16,105
command-a-03-2025,mistral-medium-2505,104
chatgpt-4o-latest-20250326,claude-opus-4-20250514,104
chatgpt-4o-latest-20250326,gemini-2.5-flash,102
claude-opus-4-20250514,o4-mini-2025-04-16,102
claude-opus-4-20250514,gpt-4.1-mini-2025-04-14,102
claude-opus-4-20250514,gpt-4.1-2025-04-14,101
claude-sonnet-4-20250514,command-a-03-2025,101
claude-3-5-haiku-20241022,claude-opus-4-20250514,101
gemini-2.5-flash,llama-4-maverick-03-26-experimental,101
claude-opus-4-20250514-thinking-16k,qwen3-235b-a22b-no-thinking,100
chatgpt-4o-latest-20250326,claude-3-5-haiku-20241022,100
gemini-2.5-pro,gemma-3-27b-it,100
claude-opus-4-20250514,grok-3-preview-02-24,100
gemma-3-27b-it,o3-2025-04-16,99
claude-3-7-sonnet-20250219,o3-2025-04-16,99
o3-2025-04-16,qwen3-235b-a22b-no-thinking,98
gemini-2.5-flash,gemma-3-27b-it,98
claude-3-7-sonnet-20250219-thinking-32k,claude-sonnet-4-20250514,98
claude-3-7-sonnet-20250219-thinking-32k,deepseek-r1-0528,98
amazon.nova-pro-v1:0,mistral-medium-2505,97
chatgpt-4o-latest-20250326,gemini-2.0-flash-001,97
claude-3-5-haiku-20241022,qwen3-235b-a22b-no-thinking,96
llama-4-maverick-03-26-experimental,qwen3-235b-a22b-no-thinking,96
chatgpt-4o-latest-20250326,mistral-medium-2505,96
claude-3-5-sonnet-20241022,gemini-2.5-flash,96
amazon.nova-pro-v1:0,claude-opus-4-20250514,96
amazon.nova-pro-v1:0,claude-3-7-sonnet-20250219-thinking-32k,95
chatgpt-4o-latest-20250326,gpt-4.1-2025-04-14,95
chatgpt-4o-latest-20250326,qwq-32b,95
gemini-2.5-pro,o3-2025-04-16,94
deepseek-v3-0324,qwen3-235b-a22b-no-thinking,94
claude-opus-4-20250514,o3-mini,94
chatgpt-4o-latest-20250326,gemma-3-27b-it,92
command-a-03-2025,o3-2025-04-16,92
claude-3-7-sonnet-20250219,mistral-medium-2505,92
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-pro,92
chatgpt-4o-latest-20250326,o4-mini-2025-04-16,92
chatgpt-4o-latest-20250326,o3-mini,91
chatgpt-4o-latest-20250326,gemini-2.5-pro-preview-03-25,91
claude-3-7-sonnet-20250219,gemma-3-27b-it,91
claude-3-7-sonnet-20250219,claude-opus-4-20250514,91
claude-3-5-haiku-20241022,o3-2025-04-16,90
gpt-4.1-mini-2025-04-14,mistral-medium-2505,90
claude-3-7-sonnet-20250219-thinking-32k,command-a-03-2025,90
deepseek-r1-0528,gemini-2.5-flash,90
amazon.nova-pro-v1:0,qwen3-235b-a22b-no-thinking,90
claude-3-5-haiku-20241022,mistral-medium-2505,89
claude-sonnet-4-20250514,llama-4-maverick-03-26-experimental,89
gemini-2.0-flash-001,o4-mini-2025-04-16,89
gpt-4.1-2025-04-14,qwen3-235b-a22b-no-thinking,88
claude-3-5-sonnet-20241022,gemma-3-27b-it,88
claude-3-7-sonnet-20250219,o4-mini-2025-04-16,88
llama-4-maverick-17b-128e-instruct,o3-2025-04-16,88
amazon.nova-pro-v1:0,claude-sonnet-4-20250514,88
claude-3-5-haiku-20241022,gemini-2.5-pro,87
deepseek-v3-0324,gemini-2.5-pro,87
claude-3-5-sonnet-20241022,claude-opus-4-20250514,87
grok-3-preview-02-24,mistral-medium-2505,87
claude-3-5-sonnet-20241022,grok-3-preview-02-24,87
gemini-2.0-flash-001,gpt-4.1-2025-04-14,87
o3-2025-04-16,o3-mini,87
chatgpt-4o-latest-20250326,llama-3.3-70b-instruct,86
claude-3-7-sonnet-20250219,gemini-2.0-flash-001,86
claude-3-5-sonnet-20241022,gemini-2.5-pro,86
deepseek-v3-0324,gemini-2.5-flash,86
claude-opus-4-20250514,qwen3-30b-a3b,85
gemini-2.5-flash,o4-mini-2025-04-16,85
gemini-2.5-flash,o3-mini,85
claude-opus-4-20250514-thinking-16k,mistral-medium-2505,85
deepseek-r1-0528,qwen3-235b-a22b-no-thinking,85
amazon.nova-pro-v1:0,command-a-03-2025,85
amazon.nova-pro-v1:0,o3-2025-04-16,85
o3-2025-04-16,o4-mini-2025-04-16,84
o3-mini,qwen3-235b-a22b-no-thinking,84
claude-3-7-sonnet-20250219-thinking-32k,gpt-4.1-2025-04-14,84
claude-3-5-sonnet-20241022,o3-2025-04-16,84
gemini-2.5-flash,grok-3-mini-beta,84
gemini-2.5-pro,grok-3-mini-beta,83
claude-sonnet-4-20250514,gpt-4.1-2025-04-14,83
chatgpt-4o-latest-20250326,o3-2025-04-16,83
claude-3-7-sonnet-20250219,grok-3-preview-02-24,83
gemma-3-27b-it,mistral-medium-2505,83
claude-sonnet-4-20250514-thinking-32k,qwen3-235b-a22b-no-thinking,83
claude-3-5-haiku-20241022,gemma-3-27b-it,83
qwen3-235b-a22b-no-thinking,qwen3-30b-a3b,83
claude-3-7-sonnet-20250219,qwen3-235b-a22b-no-thinking,83
claude-opus-4-20250514,qwen3-235b-a22b,82
chatgpt-4o-latest-20250326,llama-4-maverick-17b-128e-instruct,82
deepseek-r1-0528,mistral-medium-2505,82
claude-sonnet-4-20250514,deepseek-r1-0528,82
gemini-2.5-pro,gpt-4.1-2025-04-14,82
gemini-2.5-pro,minimax-m1,82
grok-3-mini-beta,o3-2025-04-16,82
gemma-3-27b-it,qwen3-235b-a22b-no-thinking,82
llama-4-maverick-03-26-experimental,mistral-medium-2505,82
deepseek-v3-0324,o3-2025-04-16,82
chatgpt-4o-latest-20250326,grok-3-mini-beta,82
gpt-4.1-2025-04-14,mistral-medium-2505,81
