llm_p,llm_q,comparisons
claude-opus-4-20250514,gemini-2.5-flash,325
claude-opus-4-20250514,gemini-2.5-pro,277
claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,275
gemini-2.5-pro,mistral-medium-2505,274
gemini-2.5-flash,mistral-medium-2505,269
claude-sonnet-4-20250514,gemini-2.5-flash,268
claude-opus-4-20250514,mistral-medium-2505,257
claude-opus-4-20250514,command-a-03-2025,242
claude-3-5-sonnet-20241022,gemini-2.0-flash-001,242
claude-sonnet-4-20250514,mistral-medium-2505,240
claude-sonnet-4-20250514,qwen3-235b-a22b-no-thinking,239
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-flash,237
claude-sonnet-4-20250514,gemini-2.5-pro,235
claude-opus-4-20250514,o3-2025-04-16,234
gemini-2.5-flash,qwen3-235b-a22b-no-thinking,233
claude-3-7-sonnet-20250219-thinking-32k,claude-opus-4-20250514,230
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-pro,229
claude-opus-4-20250514,gemma-3-27b-it,229
claude-opus-4-20250514,claude-sonnet-4-20250514,227
claude-3-7-sonnet-20250219-thinking-32k,qwen3-235b-a22b-no-thinking,227
claude-3-7-sonnet-20250219-thinking-32k,mistral-medium-2505,224
mistral-medium-2505,o3-2025-04-16,223
claude-3-7-sonnet-20250219,gemini-2.5-pro,222
mistral-medium-2505,qwen3-235b-a22b-no-thinking,221
claude-3-7-sonnet-20250219,gemini-2.5-flash,221
amazon.nova-pro-v1:0,gemini-2.5-flash,220
command-a-03-2025,gemini-2.5-pro,218
claude-opus-4-20250514,llama-4-maverick-03-26-experimental,217
claude-opus-4-20250514,deepseek-v3-0324,217
command-a-03-2025,gemini-2.5-flash,216
gemini-2.5-pro,qwen3-235b-a22b-no-thinking,216
gemini-2.5-pro,o3-mini,209
gemini-2.5-flash,gemini-2.5-pro,208
claude-opus-4-20250514,grok-3-mini-beta,207
gemini-2.5-flash,o3-2025-04-16,205
claude-opus-4-20250514,deepseek-r1-0528,204
claude-sonnet-4-20250514,o3-2025-04-16,204
amazon.nova-pro-v1:0,claude-opus-4-20250514,204
chatgpt-4o-latest-20250326,claude-opus-4-20250514,203
gemini-2.5-pro,gemma-3-27b-it,203
o3-2025-04-16,qwen3-235b-a22b-no-thinking,201
chatgpt-4o-latest-20250326,claude-3-5-sonnet-20241022,199
claude-opus-4-20250514,o4-mini-2025-04-16,198
claude-3-7-sonnet-20250219-thinking-32k,claude-sonnet-4-20250514,195
gemini-2.5-flash,gemma-3-27b-it,195
claude-sonnet-4-20250514,command-a-03-2025,194
claude-3-7-sonnet-20250219,mistral-medium-2505,194
claude-opus-4-20250514,o3-mini,193
claude-opus-4-20250514,gpt-4.1-2025-04-14,193
amazon.nova-pro-v1:0,gemini-2.5-pro,192
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-pro,190
claude-opus-4-20250514-thinking-16k,qwen3-235b-a22b-no-thinking,190
claude-sonnet-4-20250514,llama-4-maverick-03-26-experimental,190
gemini-2.0-flash-001,o3-2025-04-16,190
claude-3-5-sonnet-20241022,gemini-2.5-flash,189
chatgpt-4o-latest-20250326,mistral-medium-2505,188
deepseek-r1-0528,gemini-2.5-flash,188
claude-3-5-haiku-20241022,gemini-2.5-pro,187
claude-3-5-haiku-20241022,claude-opus-4-20250514,187
claude-3-7-sonnet-20250219,claude-opus-4-20250514,186
deepseek-r1-0528,qwen3-235b-a22b-no-thinking,185
claude-opus-4-20250514,grok-3-preview-02-24,185
chatgpt-4o-latest-20250326,gemini-2.5-flash,185
claude-opus-4-20250514,gpt-4.1-mini-2025-04-14,184
amazon.nova-pro-v1:0,mistral-medium-2505,183
gemini-2.5-pro,o3-2025-04-16,183
amazon.nova-pro-v1:0,claude-sonnet-4-20250514,182
chatgpt-4o-latest-20250326,claude-3-5-haiku-20241022,182
chatgpt-4o-latest-20250326,claude-3-7-sonnet-20250219,182
gemini-2.5-flash,llama-4-maverick-03-26-experimental,181
claude-3-7-sonnet-20250219,o3-2025-04-16,180
amazon.nova-pro-v1:0,qwen3-235b-a22b-no-thinking,180
claude-3-7-sonnet-20250219-thinking-32k,o3-2025-04-16,178
claude-3-5-haiku-20241022,gemini-2.5-flash,177
claude-3-5-sonnet-20241022,o3-2025-04-16,175
deepseek-v3-0324,qwen3-235b-a22b-no-thinking,175
claude-3-5-haiku-20241022,o3-2025-04-16,174
claude-opus-4-20250514,gemini-2.5-pro-preview-05-06,174
gemma-3-27b-it,mistral-medium-2505,174
o3-2025-04-16,o3-mini,174
command-a-03-2025,o3-2025-04-16,174
amazon.nova-pro-v1:0,o3-2025-04-16,174
llama-4-maverick-03-26-experimental,qwen3-235b-a22b-no-thinking,173
claude-opus-4-20250514,qwen3-30b-a3b,173
deepseek-v3-0324,gemini-2.5-flash,173
command-a-03-2025,mistral-medium-2505,172
claude-sonnet-4-20250514,gemma-3-27b-it,172
chatgpt-4o-latest-20250326,gemma-3-27b-it,171
gemini-2.5-flash,gpt-4.1-2025-04-14,171
gemini-2.5-pro,llama-4-maverick-03-26-experimental,171
claude-sonnet-4-20250514-thinking-32k,qwen3-235b-a22b-no-thinking,170
claude-3-5-haiku-20241022,mistral-medium-2505,170
gemma-3-27b-it,o3-2025-04-16,169
chatgpt-4o-latest-20250326,o3-2025-04-16,169
gemini-2.5-pro,grok-3-mini-beta,169
claude-3-7-sonnet-20250219-thinking-32k,deepseek-r1-0528,168
gemini-2.5-pro,qwen3-30b-a3b,168
claude-3-5-haiku-20241022,qwen3-235b-a22b-no-thinking,167
gpt-4.1-mini-2025-04-14,mistral-medium-2505,167
command-a-03-2025,qwen3-235b-a22b-no-thinking,166
claude-3-5-sonnet-20241022,claude-opus-4-20250514,166
o3-mini,qwen3-235b-a22b-no-thinking,166
gemini-2.5-flash,grok-3-mini-beta,166
chatgpt-4o-latest-20250326,grok-3-preview-02-24,166
claude-opus-4-20250514-thinking-16k,gemini-2.5-pro,166
claude-opus-4-20250514,qwen3-235b-a22b,166
deepseek-r1-0528,mistral-medium-2505,165
claude-3-5-sonnet-20241022,gemini-2.5-pro,165
chatgpt-4o-latest-20250326,gemini-2.0-flash-001,164
claude-opus-4-20250514-thinking-16k,mistral-medium-2505,164
llama-4-maverick-17b-128e-instruct,o3-2025-04-16,164
claude-3-7-sonnet-20250219-thinking-32k,command-a-03-2025,164
deepseek-v3-0324,gemini-2.5-pro,163
gemini-2.5-pro,gpt-4.1-2025-04-14,163
chatgpt-4o-latest-20250326,claude-sonnet-4-20250514,162
claude-sonnet-4-20250514,deepseek-r1-0528,162
amazon.nova-pro-v1:0,claude-3-7-sonnet-20250219-thinking-32k,161
claude-opus-4-20250514-thinking-16k,o3-2025-04-16,161
chatgpt-4o-latest-20250326,o4-mini-2025-04-16,160
claude-sonnet-4-20250514,gpt-4.1-2025-04-14,159
gemini-2.5-pro,gpt-4.1-mini-2025-04-14,159
deepseek-r1-0528,o3-2025-04-16,159
gpt-4.1-mini-2025-04-14,qwen3-235b-a22b-no-thinking,158
gemini-2.5-flash,gpt-4.1-mini-2025-04-14,158
gemini-2.5-flash,o3-mini,157
deepseek-r1-0528,gemini-2.5-pro,156
claude-sonnet-4-20250514-thinking-32k,o3-2025-04-16,155
gemini-2.5-pro,qwen3-235b-a22b,155
gpt-4.1-2025-04-14,o3-2025-04-16,155
chatgpt-4o-latest-20250326,gemini-2.5-pro-preview-03-25,155
gemini-2.5-flash,o4-mini-2025-04-16,154
claude-3-7-sonnet-20250219,deepseek-r1-0528,154
claude-3-7-sonnet-20250219,gemma-3-27b-it,154
mistral-medium-2505,o3-mini,154
claude-3-7-sonnet-20250219,qwen3-235b-a22b-no-thinking,154
chatgpt-4o-latest-20250326,llama-4-maverick-17b-128e-instruct,153
claude-sonnet-4-20250514,o3-mini,153
claude-opus-4-20250514,gemini-2.5-flash-preview-04-17,153
grok-3-preview-02-24,qwen3-235b-a22b-no-thinking,153
gpt-4.1-2025-04-14,qwen3-235b-a22b-no-thinking,152
claude-sonnet-4-20250514,deepseek-v3-0324,152
chatgpt-4o-latest-20250326,o3-mini,152
claude-3-5-sonnet-20241022,gemma-3-27b-it,151
grok-3-mini-beta,o3-2025-04-16,151
claude-3-5-sonnet-20241022,grok-3-preview-02-24,151
gemini-2.5-pro,o4-mini-2025-04-16,151
qwen3-235b-a22b-no-thinking,qwen3-30b-a3b,151
deepseek-v3-0324,o3-2025-04-16,150
claude-3-7-sonnet-20250219,o4-mini-2025-04-16,150
gemma-3-27b-it,qwen3-235b-a22b-no-thinking,149
llama-4-maverick-03-26-experimental,mistral-medium-2505,149
gemini-2.5-flash,qwen3-30b-a3b,148
claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,148
claude-opus-4-20250514,llama-3.3-70b-instruct,148
gemini-2.5-pro,llama-3.3-70b-instruct,148
amazon.nova-pro-v1:0,command-a-03-2025,148
claude-3-7-sonnet-20250219-thinking-32k,llama-4-maverick-03-26-experimental,147
grok-3-preview-02-24,mistral-medium-2505,147
claude-sonnet-4-20250514-thinking-32k,mistral-medium-2505,147
claude-3-5-sonnet-20241022,gpt-4.1-2025-04-14,147
claude-opus-4-20250514,gemini-2.0-flash-001,146
claude-3-7-sonnet-20250219-thinking-32k,deepseek-v3-0324,146
claude-3-5-haiku-20241022,claude-sonnet-4-20250514,145
claude-opus-4-20250514-thinking-16k,gemini-2.5-flash-lite-preview-06-17-thinking,145
claude-opus-4-20250514-thinking-16k,gemini-2.5-flash,145
claude-3-7-sonnet-20250219-thinking-32k,gpt-4.1-2025-04-14,145
gemini-2.0-flash-001,gpt-4.1-2025-04-14,145
deepseek-r1-0528,gpt-4.1-mini-2025-04-14,145
claude-sonnet-4-20250514,gemini-2.5-flash-preview-04-17,144
gemini-2.5-flash,llama-3.3-70b-instruct,144
command-a-03-2025,llama-4-maverick-03-26-experimental,144
chatgpt-4o-latest-20250326,claude-3-7-sonnet-20250219-thinking-32k,144
claude-sonnet-4-20250514,qwen3-30b-a3b,143
o3-2025-04-16,o4-mini-2025-04-16,143
claude-3-7-sonnet-20250219,claude-sonnet-4-20250514,143
chatgpt-4o-latest-20250326,qwq-32b,143
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-flash,143
chatgpt-4o-latest-20250326,gemini-2.5-pro,143
o4-mini-2025-04-16,qwen3-235b-a22b-no-thinking,143
chatgpt-4o-latest-20250326,qwen3-235b-a22b-no-thinking,143
grok-3-mini-beta,mistral-medium-2505,143
gpt-4.1-2025-04-14,mistral-medium-2505,142
mistral-medium-2505,o4-mini-2025-04-16,142
gemma-3-27b-it,gpt-4.1-2025-04-14,142
gemma-3-27b-it,o3-mini,141
chatgpt-4o-latest-20250326,command-a-03-2025,141
chatgpt-4o-latest-20250326,grok-3-mini-beta,141
claude-sonnet-4-20250514,grok-3-preview-02-24,141
gemini-2.5-pro,minimax-m1,141
grok-3-mini-beta,qwen3-235b-a22b-no-thinking,141
minimax-m1,o3-2025-04-16,140
chatgpt-4o-latest-20250326,gpt-4.1-2025-04-14,140
gemini-2.5-flash,qwen3-235b-a22b,139
deepseek-r1-0528,o4-mini-2025-04-16,139
claude-3-5-haiku-20241022,gemma-3-27b-it,139
gemma-3-27b-it,gpt-4.1-mini-2025-04-14,138
minimax-m1,qwen3-235b-a22b-no-thinking,138
gemini-2.5-pro,grok-3-preview-02-24,138
claude-sonnet-4-20250514,o4-mini-2025-04-16,138
gemini-2.5-flash-lite-preview-06-17-thinking,mistral-medium-2505,137
gemini-2.0-flash-001,o3-mini,137
claude-3-5-sonnet-20241022,qwen3-235b-a22b-no-thinking,137
claude-3-7-sonnet-20250219,gemini-2.0-flash-001,137
gemini-2.5-flash,minimax-m1,137
claude-sonnet-4-20250514,qwen3-235b-a22b,136
gemini-2.5-flash-lite-preview-06-17-thinking,qwen3-235b-a22b-no-thinking,136
gemini-2.0-flash-001,grok-3-preview-02-24,135
claude-sonnet-4-20250514,grok-3-mini-beta,135
deepseek-r1-0528,gemma-3-27b-it,135
claude-3-7-sonnet-20250219,grok-3-mini-beta,135
claude-3-5-sonnet-20241022,o4-mini-2025-04-16,134
mistral-medium-2505,qwen3-235b-a22b,134
claude-3-7-sonnet-20250219,grok-3-preview-02-24,134
claude-3-7-sonnet-20250219-thinking-32k,minimax-m1,134
claude-opus-4-20250514,qwq-32b,133
gemini-2.0-flash-001,o4-mini-2025-04-16,133
gemini-2.5-pro,llama-4-maverick-17b-128e-instruct,133
claude-3-5-sonnet-20241022,o3-mini,133
claude-3-5-sonnet-20241022,mistral-medium-2505,132
deepseek-v3-0324,mistral-medium-2505,132
claude-opus-4-20250514,qwen-max-2025-01-25,132
claude-3-7-sonnet-20250219,command-a-03-2025,132
chatgpt-4o-latest-20250326,llama-3.3-70b-instruct,131
claude-3-7-sonnet-20250219-thinking-32k,gpt-4.1-mini-2025-04-14,131
claude-3-5-haiku-20241022,deepseek-r1-0528,131
grok-3-preview-02-24,o3-mini,131
gemma-3-27b-it,grok-3-preview-02-24,130
deepseek-v3-0324,gemma-3-27b-it,130
claude-3-5-sonnet-20241022,claude-sonnet-4-20250514,130
claude-3-7-sonnet-20250219-thinking-32k,o4-mini-2025-04-16,130
grok-3-preview-02-24,o3-2025-04-16,130
gemini-2.5-flash-lite-preview-06-17-thinking,o3-2025-04-16,129
command-a-03-2025,o4-mini-2025-04-16,128
gemma-3-27b-it,o4-mini-2025-04-16,128
gemini-2.0-flash-001,gemma-3-27b-it,128
deepseek-r1-0528,gpt-4.1-2025-04-14,127
mistral-small-3.1-24b-instruct-2503,qwen3-235b-a22b-no-thinking,127
claude-3-5-haiku-20241022,o4-mini-2025-04-16,126
claude-3-5-haiku-20241022,llama-4-maverick-03-26-experimental,126
gemini-2.5-pro,mistral-small-3.1-24b-instruct-2503,126
command-a-03-2025,o3-mini,125
claude-3-7-sonnet-20250219-thinking-32k,gemma-3-27b-it,125
mistral-medium-2505,qwen3-30b-a3b,125
mistral-medium-2505,qwen-max-2025-01-25,125
gemini-2.0-flash-001,llama-3.3-70b-instruct,125
claude-3-5-sonnet-20241022,grok-3-mini-beta,124
amazon.nova-pro-v1:0,deepseek-r1-0528,124
gemini-2.5-flash,llama-4-maverick-17b-128e-instruct,123
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-flash-preview-04-17,123
gpt-4.1-mini-2025-04-14,o3-2025-04-16,123
minimax-m1,mistral-medium-2505,122
grok-3-preview-02-24,o4-mini-2025-04-16,122
gemini-2.5-flash-preview-04-17,mistral-medium-2505,122
claude-opus-4-20250514-thinking-16k,minimax-m1,122
claude-3-5-haiku-20241022,o3-mini,122
